      Lon      Lat     thick1     Vp/Vs1      Dens1     thick2     Vp/Vs2      Dens2     thick3     Vp/Vs3      Dens3
    -5.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -4.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -3.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -2.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -1.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     0.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     1.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     2.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     3.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
   -10.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -9.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -8.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -7.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -6.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -5.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -4.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -3.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -2.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -1.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     0.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     1.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     2.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     3.00    -8.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
   -10.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -9.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -8.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -7.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -6.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -5.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -4.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -3.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -2.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -1.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     0.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     1.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     2.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     3.00    -7.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
   -10.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -9.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -8.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -7.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -6.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -5.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -4.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -3.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -2.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -1.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     0.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     1.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     2.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     3.00    -6.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
   -10.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -9.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -8.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -7.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -6.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -5.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -4.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -3.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -2.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -1.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     0.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     1.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     2.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     3.00    -5.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
   -10.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -9.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -8.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -7.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -6.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -5.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -4.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -3.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -2.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -1.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     0.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     1.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     2.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     3.00    -4.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
   -10.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -9.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -8.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -7.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -6.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -5.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -4.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -3.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -2.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -1.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     0.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     1.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     2.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     3.00    -3.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
   -10.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -9.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -8.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -7.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -6.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -5.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -4.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -3.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -2.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -1.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     0.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     1.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     2.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     3.00    -2.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
   -10.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -9.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -8.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -7.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -6.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -5.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -4.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -3.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -2.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -1.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     0.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     1.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     2.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     3.00    -1.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
