      Lon      Lat     Elev   Uncert      SHF   Uncert    Geoid   Uncert  Bouguer   Uncert  FreeAir   Uncert
    -9.00    -3.00  1807.65   164.50    55.78    10.73     0.64     1.40  -181.95     5.34    22.76    10.90
    -8.00    -3.00  1834.13   335.85    32.59    11.04     0.50     1.40  -185.35     6.06    14.01    26.71
    -7.00    -3.00  1697.33   157.51    55.61    11.10     0.20     1.40  -191.00     5.71    -0.99    17.73
    -6.00    -3.00  1978.10   188.34    87.65    22.74     0.68     1.40  -211.24    17.16    10.25    20.67
    -5.00    -3.00  2148.11   197.21    73.45    13.76     0.78     1.40  -223.47     6.71    19.20    13.48
    -4.00    -3.00  2086.88   216.87    66.90    13.45     0.43     1.40  -223.69     9.46    10.01    13.02
    -3.00    -3.00  1982.37   327.63   107.78    59.30     0.52     1.40  -220.79    20.59     4.93    16.29
    -2.00    -3.00  2181.55   395.94    70.25    33.10     1.21     1.40  -207.67    11.28    41.84    18.89
    -1.00    -3.00  1625.99   235.05    65.46    18.50    -1.18     1.40  -176.00    11.62     2.58    14.03
     0.00    -3.00  1318.22   121.76    51.37     7.19    -3.24     1.40  -147.36     9.30     1.03    14.83
     1.00    -3.00  1163.09    79.18    35.99     4.00    -5.76     1.40  -142.82     5.89   -13.81    10.73
     2.00    -3.00  1008.56    70.54    31.31     4.00    -7.40     1.40  -124.21    12.99   -18.61    11.01
     3.00    -3.00   804.97    93.02    30.00     5.00    -7.73     1.40   -94.02    14.20    -6.30    17.27
   -10.00    -2.00   924.91   398.96    72.36     8.13    -2.33     1.40  -117.81    26.19   -10.82    12.55
    -9.00    -2.00  1379.93   309.21    81.69    17.36    -1.14     1.40  -154.26    16.07     3.41     7.88
    -8.00    -2.00  1636.77   423.37    51.90    24.87    -0.16     1.40  -170.93    17.85    19.73    19.64
    -7.00    -2.00  1841.50   199.32    65.96    17.06    -0.29     1.40  -196.45     8.32    13.04    20.06
    -6.00    -2.00  1965.52   270.10    73.30    10.35    -0.26     1.40  -220.00     9.25     1.52    22.60
    -5.00    -2.00  2229.23   150.53    82.34    12.93     0.60     1.40  -227.43     5.94    20.36    10.01
    -4.00    -2.00  2061.55   247.91    71.33    10.17     0.15     1.40  -215.05     8.03    14.25    17.09
    -3.00    -2.00  1791.08   239.60    85.49    15.38    -0.18     1.40  -186.63     9.48     6.39    24.17
    -2.00    -2.00  1878.23   132.59    37.74    17.29    -0.28     1.40  -186.22     5.83    28.28    19.56
    -1.00    -2.00  1421.27   132.56    30.94     5.93    -3.28     1.40  -176.56    11.30   -16.09     7.19
     0.00    -2.00  1340.77    71.69    36.39     4.68    -4.09     1.40  -149.96     9.14     2.46    13.63
     1.00    -2.00  1183.32    57.74    30.00     5.00    -5.89     1.40  -141.94     6.60    -9.43     6.38
     2.00    -2.00   977.14   109.64    30.00     5.00    -7.81     1.40  -127.46     6.27   -22.33    10.66
     3.00    -2.00   629.42    86.42    30.00     5.00    -8.96     1.40   -94.73    11.48   -32.16    12.69
   -10.00    -1.00   469.01   182.51    86.03    24.24    -3.32     1.40   -67.60    15.32   -10.25     7.03
    -9.00    -1.00   445.85   171.33    98.63    24.24    -3.42     1.40   -82.67    19.66   -22.33     4.57
    -8.00    -1.00   761.12   362.09    80.00    11.77    -2.97     1.40  -117.08    28.31   -24.50     6.49
    -7.00    -1.00  1318.98   335.11    97.69    15.08    -1.71     1.40  -158.59    16.82    -9.57    14.19
    -6.00    -1.00  2003.15   457.28    80.20     7.66    -0.40     1.40  -207.57    22.92    18.16    20.65
    -5.00    -1.00  2164.81   295.52    91.08     7.42    -0.03     1.40  -229.70    14.78    16.44     8.24
    -4.00    -1.00  1974.16   390.96    85.87    25.90    -0.58     1.40  -206.97    18.48     8.52     8.49
    -3.00    -1.00  1535.28   217.57    77.11    25.18    -1.04     1.40  -172.44     7.85    -5.50    13.84
    -2.00    -1.00  1915.78   302.60    67.45    22.12    -0.24     1.40  -170.46    10.45    43.94    21.05
    -1.00    -1.00  1217.53   113.73    43.15     8.60    -3.23     1.40  -150.58    13.73   -15.06    10.43
     0.00    -1.00  1269.32    62.31    31.12     4.00    -3.16     1.40  -120.99    14.24    22.12    10.46
     1.00    -1.00  1082.11    60.91    30.00     5.00    -4.66     1.40  -110.17    11.91    11.24    11.54
     2.00    -1.00   901.51    98.38    30.00     5.00    -6.77     1.40   -98.39    17.76     0.42     9.28
     3.00    -1.00   615.92    93.51    30.00     5.00    -8.66     1.40   -76.82    12.79   -11.61    15.42
